prevtime,prevspeed,prevx,prevy,prevz,prevcp,currtime,currspeed,curx,cury,curz,curcp,move,turn,angle,dist,reward
13451974,5.19259,720.0,90.0144,368.835,0.0,13451991,5.50655,720.0,90.0135,368.94,0.0,2,2,-0.0,0.0,5.50655
13452491,9.36115,720.0,90.016,372.22,0.0,13452507,9.67574,720.0,90.0163,372.41,0.0,0,2,-0.0,0.0,9.67574
13453007,12.9144,720.0,90.0164,378.16,0.0,13453024,12.865,720.0,90.0163,378.29,0.0,2,2,-0.0,0.0,12.865
13453524,14.951,720.0,90.0156,385.077,0.0,13453541,15.0561,720.0,90.0153,385.379,0.0,2,2,-0.0,0.0,15.0561
13454041,16.5444,720.0,90.0152,393.112,0.0,13454057,16.8654,720.0,90.015,393.445,0.0,0,2,-0.0,0.0,16.8654
13454557,17.6993,720.0,90.0141,402.302,1.0,13454574,17.6361,720.0,90.0143,402.479,1.0,0,2,-0.0,0.0,17.6361
13455074,19.2856,720.0,90.0137,411.878,1.0,13455091,19.1483,720.0,90.0138,412.263,1.0,2,2,-0.0,0.0,19.1483
13455591,21.3694,720.0,90.014,422.353,1.0,13455607,21.2209,720.0,90.0138,422.78,1.0,2,2,-0.0,0.0,21.2209
13456107,21.3992,720.938,90.0199,432.983,1.0,13456124,21.3231,720.985,90.0187,433.192,1.0,0,2,-0.0,0.0,21.3231
13456624,24.5248,723.809,90.0161,444.253,1.0,13456641,24.3555,723.934,90.0158,444.727,1.0,2,2,-0.0,0.0,24.3555
13457141,27.6482,727.065,90.0154,457.587,1.0,13457157,27.4617,727.165,90.0151,458.129,1.0,2,2,-0.0,0.0,27.4617
13457657,27.0371,729.275,90.0153,471.231,1.0,13457674,27.1969,729.316,90.0154,471.498,1.0,2,2,-0.0,0.0,27.1969
13458174,27.7196,730.798,90.0238,485.234,1.0,13458191,27.5327,730.788,90.0231,485.786,1.0,0,2,-0.0,0.0,27.5327
13458691,29.0677,729.901,90.0147,500.01,2.0,13458707,28.8718,729.856,90.0148,500.588,2.0,2,2,-0.0,0.0,28.8718
13459207,27.3341,727.418,90.0202,514.49,2.0,13459224,27.2315,727.327,90.0202,514.747,2.0,2,2,-0.0,0.0,27.2315
13459724,28.6988,720.299,90.0081,526.947,2.0,13459741,28.5054,719.977,90.0086,527.42,2.0,2,2,-0.0,0.0,28.5054
13460241,30.3404,711.744,90.0126,539.318,2.0,13460257,30.5587,711.397,90.0137,539.818,2.0,2,2,-0.0,0.0,30.5587
13460757,33.6506,702.371,90.0218,552.547,2.0,13460774,33.7582,702.161,90.0221,552.81,2.0,0,2,-0.0,0.0,33.7582
13461274,39.0607,689.12,90.0228,565.417,2.0,13461291,39.2775,688.482,90.023,565.871,2.0,0,1,-0.0,0.0,39.2775
13461791,39.8099,670.951,90.0277,576.458,2.0,13461807,39.5545,670.241,90.0289,576.814,2.0,0,2,-0.0,0.0,39.5545
13462307,37.4343,651.638,90.0343,583.465,2.0,13462324,37.3094,651.269,90.0349,583.522,2.0,2,2,-0.0,0.0,37.3094
13462824,37.282,632.998,90.0267,584.249,2.0,13462841,37.5023,632.251,90.0263,584.248,2.0,2,2,-0.0,0.0,37.5023
13463341,37.2365,613.811,90.0219,584.19,2.0,13463357,36.9938,613.068,90.0214,584.187,2.0,2,2,-0.0,0.0,36.9938
13463841,40.1802,594.95,90.0204,584.11,2.0,13463857,40.3983,594.145,90.0202,584.106,3.0,0,2,-0.0,0.0,40.3983
13464357,41.9635,573.292,90.0209,584.015,3.0,13464374,42.0748,572.872,90.0206,584.013,3.0,2,2,-0.0,0.0,42.0748
13464874,42.4345,552.129,90.0191,583.923,3.0,13464891,42.6536,551.279,90.0188,583.919,3.0,0,2,-0.0,0.0,42.6536
13465391,39.2348,530.264,90.021,582.608,3.0,13465407,38.9747,529.491,90.0198,582.487,3.0,2,2,-0.0,0.0,38.9747
13465907,39.4178,510.257,90.0196,577.568,3.0,13465924,39.2909,509.879,90.02,577.457,3.0,2,2,-0.0,0.0,39.2909
13466424,39.4037,491.916,90.0206,570.119,3.0,13466441,39.1316,491.238,90.0182,569.721,3.0,2,1,-0.0,0.0,39.1316
13466941,39.3356,476.406,90.0129,557.407,3.0,13466957,39.3178,475.84,90.0136,556.858,3.0,2,2,-0.0,0.0,39.3178
13467457,42.1666,461.65,90.0168,542.825,3.0,13467474,42.2694,461.354,90.017,542.524,3.0,0,1,-0.0,0.0,42.2694
13467974,41.7635,449.029,90.0103,526.237,3.0,13467991,41.9666,448.611,90.0114,525.513,3.0,0,2,-0.0,0.0,41.9666
13468491,44.3786,439.931,90.0195,505.528,3.0,13468507,44.5995,439.612,90.021,504.697,3.0,2,2,-0.0,0.0,44.5995
13469007,43.8097,431.83,90.0206,484.23,3.0,13469024,43.9203,431.675,90.0208,483.82,3.0,2,2,-0.0,0.0,43.9203
13469524,43.9274,424.024,90.0198,463.623,3.0,13469541,44.1475,423.712,90.0198,462.8,3.0,0,2,-0.0,0.0,44.1475
13470041,44.2352,415.688,90.0199,441.933,3.0,13470057,43.947,415.335,90.0209,441.124,3.0,2,2,-0.0,0.0,43.947
13470557,41.9087,404.113,90.0139,423.207,3.0,13470574,41.7727,403.852,90.0139,422.88,3.0,0,2,-0.0,0.0,41.7727
13471074,47.1862,389.512,90.0212,405.891,3.0,13471091,47.4046,388.859,90.0219,405.208,3.0,0,2,-0.0,0.0,47.4046
13471591,52.7824,370.564,90.0254,388.131,3.0,13471607,52.989,369.73,90.0269,387.481,3.0,0,0,-0.0,0.0,52.989
13472107,52.7342,346.183,90.031,373.913,3.0,13472124,52.56,345.693,90.0323,373.721,3.0,2,0,-0.0,0.0,52.56
13472624,44.613,322.017,90.0148,369.226,3.0,13472641,44.328,321.127,90.0131,369.189,3.0,2,2,-0.0,0.0,44.328
13473141,38.8585,300.591,90.0173,368.748,4.0,13473158,38.8591,299.814,90.0167,368.736,4.0,2,2,-0.0,0.0,38.8591
13473658,41.4098,280.281,90.0181,368.449,4.0,13473674,41.5185,279.867,90.0181,368.443,4.0,0,2,-0.0,0.0,41.5185
13474174,45.0067,257.932,90.0194,368.124,4.0,13474191,45.1173,257.032,90.0195,368.111,4.0,0,2,-0.0,0.0,45.1173
13474691,39.7455,235.51,90.0203,367.798,5.0,13474708,39.4894,234.717,90.0201,367.786,5.0,2,2,-0.0,0.0,39.4894
13475207,34.1163,216.613,88.8733,367.526,5.0,13475224,34.0497,216.283,88.8001,367.521,5.0,2,2,-0.0,0.0,34.0497
13475724,32.9766,201.197,82.4766,367.304,5.0,13475741,33.0126,200.648,82.1214,367.296,5.0,2,2,-0.0,0.0,33.0126
13476241,35.1659,188.093,70.974,367.114,5.0,13476258,35.2872,187.635,70.4428,367.107,5.0,2,2,-0.0,0.0,35.2872
13476758,38.5866,177.175,55.2661,366.954,5.0,13476774,38.6527,176.984,54.9275,366.951,5.0,2,2,-0.0,0.0,38.6527
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
13477257,41.4507,168.711,37.6257,366.828,5.0,13477257,41.4507,168.711,37.6257,366.828,5.0,2,2,0.0,0.0,36.4507
